Descripción del alimento principal,Descripción de la categoría,Energía (kcal),Proteína (g),Carbohidratos (g),"Azúcares, totales
(gramo)",Fibra dietética total (g),Grasa total (g),"Ácidos grasos, saturados totales (g)","Ácidos grasos, monoinsaturados totales (g)",Ácidos grasos poliinsaturados totales (g),Colesterol (mg),Retinol (mcg),"Vitamina A, RAE (mcg_RAE)","Caroteno, alfa (mcg)","Caroteno, beta (mcg)","Criptoxantina, beta (mcg)",Licopeno (mcg),Luteína + zeaxantina (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B-6 (mg),Ácido fólico (mcg),"Folato, alimentos (mcg)","Folato, DFE (mcg_DFE)","Folato, total (mcg)","Colina, total (mg)",Vitamina B-12 (mcg),"Vitamina B-12, añadida
(mcg)",Vitamina C (mg),Vitamina D (D2 + D3) (mcg),Vitamina E (alfa-tocoferol) (mg),"Vitamina E, añadida
(mg)",Vitamina K (filoquinona) (mcg),Calcio (mg),Fósforo (mg),Magnesio (mg),"Hierro
(mg)","Zinc
(mg)",Cobre (mg),Selenio (mcg),Potasio (mg),Sodio (mg),Cafeína (mg),Teobromina (mg),Alcohol (gramos),"4:0
(gramo)","6:0
(gramo)","8:0
(gramo)","10:0
(gramo)","12:0
(gramo)","14:0
(gramo)","16:0
(gramo)","18:0
(gramo)","16:1
(gramo)","18:1
(gramo)","20:1
(gramo)","22:1
(gramo)","18:2
(gramo)","18:3
(gramo)","18:4
(gramo)","20:4
(gramo)","20:5 n-3
(gramo)","22:5 n-3
(gramo)","22:6 n-3
(gramo)","Agua
(gramo)"
Cazuela de brócoli con arroz,Caramelo que contiene chocolate,366,"2,2","80,4","71,42","2,1","9,3","5,46","3,09","0,3",0,0,0,0,0,0,0,4,"0,026","0,058","0,575","0,01",0,3,3,3,"2,8",0,0,0,0,"0,13",0,"2,1",17,95,63,"1,56","0,45","0,43","1,6",168,26,10,185,0,0,0,0,0,0,"0,009","2,317",3035,"0,018",3067,0,0,"0,281","0,014",0,0,0,0,0,"7,7"
Cazuela de brócoli con fideos,Caramelo que contiene chocolate,510,"5,71","64,69","48,46",1,"25,42",18456,"4,416","0,762",9,22,22,0,0,0,0,14,"0,136","0,209","0,804","0,022",12,8,28,20,26,"0,44",0,"0,3",0,"0,54",0,"5,4",116,120,32,"0,9","0,57","0,209","4,6",208,126,10,93,0,"0,188","0,117","0,493","0,51","5,75","2,111","4,39",4695,"0,113",4277,0,0,"0,708","0,054",0,0,0,0,0,"2,93"
Cazuela De Espinacas Y Queso,Caramelo que contiene chocolate,487,"7,82","64,13","46,54","2,8","24,72","10,115","9,11",4332,3,8,8,0,0,0,0,1,"0,14","0,086","3,57","0,084",0,39,39,39,"25,2","0,15",0,"0,2",0,"0,94",0,"2,1",57,129,55,1,"1,14","0,216","2,2",282,294,4,54,0,"0,144","0,062","0,17","0,192","2,152","0,894",3585,2654,"0,04",8836,"0,209",0,"4,3","0,012",0,0,0,0,0,"1,34"
Cazuela de fideos con atún con nata o salsa blanca,Caramelo que contiene chocolate,590,"12,39","37,68","14,63","3,5","43,27",21723,10884,"4,349",22,54,55,0,13,0,0,6,"0,2","0,48","2,26","0,18",0,25,25,25,"50,1","0,85",0,"1,4","0,1","2,61",0,"7,5",285,332,129,"1,45","2,47","0,85","4,9",606,111,9,150,0,"0,221","0,144","0,656","0,685",5079,"2,415",6912,5369,"0,194",10644,"0,041","0,002",4151,"0,197",0,"0,001",0,0,0,4
Cazuela de fideos con atún con verduras y salsa de champiñones,Caramelo que contiene chocolate,483,"6,46","63,16","52,24","2,2","22,72",10584,6716,2826,6,22,23,0,3,0,0,8,"0,059","0,126","2,426","0,066",3,16,22,20,"36,7","0,11",0,"0,2",0,"1,22",0,"2,1",70,142,58,"0,68","1,61","0,247","5,2",286,234,6,102,0,"0,166","0,101","0,379","0,368",3277,1451,2843,1838,"0,057",6538,"0,103",0,"2,8","0,026",0,0,0,0,0,"6,27"
Cazuela de fideos con atún con verduras,Caramelo que no contiene chocolate,401,0,"99,6","99,8",0,"0,32",0,0,0,0,0,0,0,0,0,0,0,0,"0,019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0,05","0,01","0,007","0,6",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,02"
Cazuela de fideos con atún y salsa de champiñones,Caramelo que no contiene chocolate,384,"3,1","82,36","60,91",0,"5,7",1722,1735,1872,4,6,6,0,1,0,0,0,"0,08","0,163","0,179","0,033",2,5,8,6,"13,4","0,15",0,"0,2",0,"0,56",0,"5,7",87,86,20,"0,47","0,42","0,074",2,165,144,4,38,0,"0,024","0,006","0,006","0,013","0,008","0,098","1,159","0,392","0,049",1686,0,0,1846,"0,016",0,"0,004",0,0,0,"7,6"
Cazuela de huevos con pan,Caramelo que no contiene chocolate,390,"0,2","87,88","73,51",0,"4,12",3889,0,0,0,0,0,0,0,0,0,3,"0,003","0,009","0,002",0,0,0,0,0,0,0,0,0,0,"0,16",0,1,2,2,0,"0,01","0,02","0,008","0,7",3,6,0,0,0,"0,003","0,014","0,16","0,13",1762,"0,613","0,343","0,854",0,0,0,0,0,0,0,0,0,0,0,"7,62"
Cazuela de judías verdes,Caramelo que no contiene chocolate,371,"0,1","85,8","49,16",0,3,"0,672","1,48","0,552",0,0,6,1,34,0,0,41,"0,084","0,02","0,1","0,3",0,2,2,2,"13,2",0,0,120,0,"0,56",0,"18,2",32,31,20,"1,01","0,19","0,171","0,4",294,317,0,0,0,0,0,0,0,0,"0,01","0,34","0,3",0,"1,48",0,0,"0,43","0,12",0,0,0,0,0,"10,2"
Cazuela de tamal con carne,Caramelo que no contiene chocolate,394,0,98,"62,9",0,"0,2",0,0,0,0,0,0,0,0,0,0,0,"0,004","0,003","0,007","0,003",0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,"0,3","0,01","0,029","0,6",5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,3"
Cebada,Caramelo que no contiene chocolate,396,0,"98,9","58,97","0,1",0,0,0,0,0,0,0,0,0,0,0,0,"0,006","0,013","0,01","0,005",0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,"0,4",0,"0,012","0,8",5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cebiche,Caramelo que no contiene chocolate,318,"1,8","81,3","57,56","0,1","0,2","0,056","0,08","0,047",0,0,0,0,0,0,0,0,"0,001","0,001","0,078","0,003",0,1,1,1,"0,1",0,0,0,0,0,0,0,3,8,2,"0,23","0,04","0,097","1,7",5,80,0,0,0,0,0,0,0,0,"0,001","0,04","0,015","0,004","0,076",0,0,"0,045","0,001",0,"0,001",0,0,0,"16,4"
Cebollas,Caramelo que no contiene chocolate,486,"7,57","71,24","51,33","2,5","18,98","4,144",8064,4558,12,38,39,0,9,0,0,0,"0,134","0,044",2646,"0,079",0,46,46,46,"13,5","0,01",0,0,0,"2,56",0,"0,4",27,106,42,"1,22","0,87","0,254","2,6",168,445,0,0,0,"0,145","0,09","0,054","0,114","0,117","0,342","2,479","0,771","0,046",7821,"0,197",0,4557,"0,001",0,0,0,0,0,"0,7"
cebollino,Caramelo que no contiene chocolate,400,"0,1","94,39","69,37",0,"2,28",2058,0,0,0,0,0,0,0,0,0,0,"0,002","0,013","0,007","0,003",0,0,0,0,0,0,0,0,0,"0,08",0,"0,6",2,2,2,"0,15","0,02","0,032","0,8",8,26,0,0,0,"0,002","0,006","0,072","0,07",1076,"0,36","0,172","0,3",0,0,0,0,0,0,0,0,0,0,0,"2,56"
cecina de cerdo,Caramelo que no contiene chocolate,444,"8,38","72,64","42,64","3,6","13,34",3236,6234,"2,346",0,0,0,0,0,0,0,0,"0,048","0,132",3822,"0,128",0,28,28,28,"20,4","0,02",0,"0,2",0,"2,62",0,0,63,126,61,"1,25",1,"0,23","3,8",415,132,0,0,0,0,0,0,0,0,"0,008","1,93","0,532","0,009",6054,"0,15","0,013","2,318","0,008",0,"0,005","0,012",0,0,"4,56"
Cena congelada,Caramelo que contiene chocolate,550,"5,09","59,97","46,14","7,2","32,2","18,993",9801,"1,107",7,0,2,7,25,1,0,31,"0,026","0,051","0,747","0,041",0,0,0,0,"27,6","0,23",0,0,0,"0,55",0,8,57,214,152,"8,13","2,11",1076,"3,5",568,23,47,515,0,"0,054","0,042","0,027","0,082","0,074","0,247",7825,10132,"0,113",9653,"0,018",0,1015,"0,083",0,"0,002","0,001",0,0,1
Cena de bistec Salisbury,Caramelo que contiene chocolate,545,"10,99","51,77","42,18","4,4","33,66",16352,"10,985",3055,18,47,47,0,0,0,0,5,"0,12","0,278","3,18","0,122",0,28,28,29,"49,8","0,6",0,0,0,"1,39",0,"4,6",163,239,86,"2,2","2,39","0,478","5,5",424,64,16,164,0,"0,286","0,079","0,089","0,197","0,203","0,95",7462,6509,"0,332","9,948","0,125","0,011","2,917","0,103",0,"0,003",0,0,0,"1,56"
Cena de carne,"Cordero, cabra, caza",166,"29,53",0,0,0,"4,38",1687,"1,319","0,615",108,0,0,0,0,0,0,0,"0,248","0,893",5744,"0,317",0,5,5,5,"121,6","6,59",0,3,0,"0,4",0,"1,4",22,231,27,"6,12","5,22","0,261","13,5",308,367,0,0,0,0,0,0,0,0,"0,119","0,883","0,585","0,109","1,21",0,0,"0,308","0,03",0,"0,179",0,"0,03","0,06","61,94"
Cena de espaguetis y albóndigas,platos combinados de carne,228,"19,83","12,23","9,97","0,3","10,79",4138,"4,925","0,431",67,3,6,0,40,1,1365,26,"0,054","0,167","2,704","0,226",0,5,5,5,"70,3","1,95",0,"0,2","0,1","0,32",0,"1,6",17,150,18,"2,1","5,61","0,093","19,6",259,596,0,0,0,"0,001",0,0,0,0,"0,306","2,35",1386,"0,368","4,43","0,025","0,007","0,365","0,027",0,"0,035","0,002","0,007","0,001","54,65"
Cena de pastel de carne,platos combinados de carne,226,"18,14","12,23","9,97","0,3","11,17","4,02","4,934",1394,65,2,6,0,40,1,1365,26,"0,263","0,233","3,198","0,28",0,3,3,3,"72,7","0,92",0,"0,2","0,6","0,36",0,"0,8",23,158,19,"1,36","3,51","0,101","23,9",289,601,0,0,0,"0,001",0,0,"0,007","0,006","0,18","2,42",1336,"0,276",4554,"0,068","0,007",1218,"0,061",0,"0,059",0,"0,006","0,001","55,89"
Cena de pollo,"Carne de res, excluye molida",252,"27,97",0,0,0,"15,15",5892,7001,"0,573",95,4,4,0,0,0,0,0,"0,067","0,215",3607,"0,29",0,7,7,7,"97,4","2,78",0,0,"0,1","0,11",0,"1,6",10,205,21,"2,72","7,94","0,102","27,4",271,411,0,0,0,0,0,0,0,0,"0,436",3347,1977,"0,525",6309,"0,03",0,"0,487","0,029",0,"0,05","0,003","0,01","0,001","54,62"
Cerdo a la barbacoa,platos combinados de carne,149,"21,72","1,58","1,06","0,4","6,36","2,391",2687,"0,292",63,0,6,0,73,1,3941,7,"0,056","0,132",4015,"0,309",0,9,9,9,84,"1,19",0,2,"0,1","0,73",0,"1,9",9,143,18,"2,05","3,69","0,086","22,3",264,355,0,0,0,0,0,0,"0,013","0,013","0,186",1492,"0,686","0,265","2,412","0,01",0,"0,2","0,062",0,"0,015","0,002","0,011","0,001","68,77"
Cerdo agridulce,platos combinados de carne,156,"21,56","1,58","0,09",0,"7,05",2568,"2,977","0,377",64,0,0,0,0,0,0,0,"0,056","0,129",3816,"0,288",0,8,8,8,"82,4","1,19",0,0,"0,1","0,33",0,"1,2",8,140,15,"1,79","3,64","0,057","22,2",188,360,0,0,0,0,0,0,"0,013","0,014","0,19",1628,"0,72","0,299",2664,"0,014",0,"0,278","0,067",0,"0,017","0,002","0,011","0,001","68,42"
Cerdo agridulce con arroz,Embutidos y embutidos,101,"16,7","0,27",0,0,"3,73","1,12","1,47","0,544",41,0,0,0,0,0,0,0,"0,336","0,266",5697,"0,394",0,0,0,0,"62,4","0,36",0,0,"0,6","0,29",0,0,5,261,19,"0,58","1,52","0,05","31,6",425,890,0,0,0,0,0,0,"0,003","0,001","0,042","0,71","0,348","0,09","1,36","0,027",0,"0,447","0,013",0,"0,053",0,"0,005","0,001","75,7"
Cerdo asado,Pez,95,"7,62",15,"6,25","0,5","0,46","0,216","0,275","0,143",20,0,0,0,0,0,0,0,"0,03","0,08","0,62","0,13",0,0,0,0,13,"0,57",0,0,0,"0,17",0,"0,4",13,282,43,"0,39","0,33","0,032","22,3",90,529,0,0,0,0,0,"0,002","0,002","0,017","0,018","0,106","0,047","0,014","0,113","0,003","0,005","0,012","0,005",0,0,0,"0,001","0,028","74,66"
Cerdo con chile y tomates,Mezclas de salteados y salsas a base de soja,149,"11,4","4,34","1,56",1,"9,37",2051,4008,2563,29,1,9,10,97,1,0,167,"0,388","0,175","2,692","0,291",0,12,12,12,41,"0,27",0,"13,4","0,2","1,31",0,"21,6",23,117,20,"0,74","1,07","0,084","14,1",290,251,0,0,0,0,0,0,"0,004","0,004","0,047",1349,"0,574","0,131",3788,"0,071",0,"2,262","0,271",0,"0,014",0,0,0,"73,7"
Cerdo en una manta,platos combinados de carne,118,"7,81","6,44","2,42","1,5","7,14",1475,"3,019",2075,19,0,15,11,162,20,6441,195,"0,257","0,13",2087,"0,198",0,13,13,13,"32,9","0,17",0,"4,6","0,2","1,61",0,"11,9",18,87,21,"0,88","0,82","0,084","8,6",297,305,0,0,0,0,0,0,"0,002","0,002","0,03","0,983","0,402","0,089",2865,"0,052",0,1836,"0,218",0,"0,009",0,0,0,"77,23"
Cerdo guisado al estilo puertorriqueño,platos combinados de carne,124,"10,07","5,52","1,06","1,2","7,03",1661,3023,1771,26,1,7,15,59,26,0,255,"0,341","0,138","2,258","0,212",0,13,13,13,"39,3","0,24",0,"1,8","0,2","0,8",0,12,17,103,19,"0,6",1,"0,044","11,5",221,319,0,0,0,0,0,0,"0,003","0,003","0,04",1086,"0,474","0,113","2,84","0,054",0,1561,"0,182",0,"0,013",0,0,0,"76,16"
Cerdo Kung Pao,Mezclas de salteados y salsas a base de soja,145,"11,02","4,65","1,5","1,2","9,03",1973,3856,"2,447",27,1,136,585,1332,0,0,274,"0,379","0,152","2,422","0,285",0,17,17,17,"40,4","0,26",0,15,"0,2","1,34",0,"34,3",29,116,20,"0,74","1,05","0,052","12,7",293,255,0,0,0,0,0,0,"0,003","0,004","0,045",1298,"0,551","0,126",3644,"0,068",0,"2,165","0,257",0,"0,014",0,0,0,"74,08"
Cerdo Moo Shu,platos combinados de carne,111,"7,76","4,48","2,51","1,7","7,13",1474,"2,994",2073,19,0,149,577,1480,2,6443,285,"0,26","0,125",1961,"0,207",0,15,15,15,"31,2","0,17",0,"9,9","0,2","1,96",0,"21,7",21,83,17,"0,88","0,79","0,085","8,6",288,304,0,0,0,0,0,0,"0,002","0,003","0,031","0,981","0,402","0,09",2839,"0,052",0,"1,83","0,223",0,"0,009",0,0,0,"79,2"
Cerdo o jamón con salsa a base de soja,platos combinados de carne,123,"11,2","3,14","1,33","1,5","7,27","1,78",3094,1752,29,1,216,898,2114,0,0,426,"0,387","0,147","2,334","0,25",0,16,16,16,"41,4","0,26",0,"10,4","0,3","1,32",0,"28,1",24,109,16,"0,67","1,06","0,051",13,234,317,0,0,0,0,0,0,"0,004","0,005","0,047","1,156","0,513","0,126",2895,"0,057",0,1536,"0,185",0,"0,015",0,0,0,"77,05"
cerdo salvaje,Cerdo,195,"26,97","0,01",0,0,"9,17",3176,3855,"1,118",72,1,1,0,0,0,0,0,"0,632","0,202",8296,"0,618",0,0,0,0,"75,7","0,63",0,0,"0,6","0,2",0,0,8,252,26,"0,61","1,96","0,075","46,1",422,351,0,0,0,0,0,0,"0,006","0,005","0,115",1969,1039,"0,217",3564,"0,061",0,"0,962","0,041",0,"0,067",0,"0,001",0,"61,89"
Cerdo y arroz con salsa a base de tomate,Cerdo,171,"28,03",0,0,0,"5,94","2,029",2528,"0,655",71,0,0,0,0,0,0,0,"0,656","0,207",8585,"0,641",0,0,0,0,78,"0,59",0,0,"0,6","0,2",0,0,6,259,27,"0,6","2,02","0,077","48,1",437,356,0,0,0,0,0,0,"0,004","0,003","0,075",1281,"0,645","0,16","2,321","0,039",0,"0,543","0,02",0,"0,063",0,"0,002",0,"64,11"
Cerdo y berros con salsa de soja,Cerdo,183,"27,5",0,0,0,"7,55","2,602","3,192","0,887",71,0,0,0,0,0,0,0,"0,644","0,204","8,44","0,63",0,0,0,0,"76,9","0,61",0,0,"0,6","0,2",0,0,7,256,27,"0,61","1,99","0,076","47,1",429,354,0,0,0,0,0,0,"0,005","0,004","0,095",1625,"0,842","0,188","2,942","0,05",0,"0,752","0,03",0,"0,065",0,"0,002",0,63
Cerdo y cebolla con salsa a base de soja,Cerdo,229,"25,06","7,16","0,62","0,4","10,58","3,18",4337,1951,63,1,1,0,0,0,0,0,"0,652","0,217",7959,"0,557",8,2,16,11,"68,1","0,59",0,0,"0,5","0,56",0,"2,7",26,237,28,"1,02","1,87","0,092",43,390,409,0,0,0,0,0,0,"0,005","0,004","0,102","1,99",1024,"0,198",4059,"0,067",0,1708,"0,141",0,"0,059",0,"0,001",0,"55,12"
cerdo y frijoles,Cerdo,230,"26,71",0,0,0,"12,8",4873,6014,"1,36",99,0,0,0,0,0,0,0,"0,492","0,384",3804,"0,473",0,0,0,0,"109,3","0,91",0,0,"1,1","0,11",0,0,25,221,23,"1,83","5,07","0,157","44,8",337,318,0,0,0,0,0,0,"0,014","0,011","0,163","2,96",1665,"0,323",5598,"0,094",0,"1,168","0,047",0,"0,091",0,0,0,"58,01"
Cerdo y verduras al estilo hawaiano,platos combinados de carne,126,"5,03","12,37","0,9","1,3","6,43",1235,"2,704",1937,12,1,3,6,24,11,0,108,"0,188","0,079",1567,"0,21",0,10,10,10,"22,7","0,1",0,4,"0,1","0,9",0,"8,9",13,65,17,"0,41","0,55","0,095","4,9",244,301,0,0,0,0,0,0,"0,002","0,003","0,022","0,85","0,31","0,087",2563,"0,045",0,1714,"0,208",0,"0,006",0,0,0,"74,91"
Cerdo,platos combinados de carne,127,"5,12","12,28","1,74","1,6","6,64",1186,"2,795","2,18",11,0,9,6,91,11,3611,113,"0,186","0,081",1738,"0,228",0,11,11,11,"24,2","0,1",0,"5,8","0,1","1,4",0,"10,2",14,66,20,"0,63","0,58","0,119","4,9",308,301,0,0,0,0,0,0,"0,002","0,003","0,019","0,807","0,302","0,059","2,68","0,047",0,1927,"0,24",0,"0,005",0,0,0,"74,54"
cerdo,platos combinados de carne,156,"21,56","1,58","0,09",0,"7,05",2568,"2,977","0,377",64,0,0,0,0,0,0,0,"0,056","0,129",3816,"0,288",0,8,8,8,"82,4","1,19",0,0,"0,1","0,33",0,"1,2",8,140,15,"1,79","3,64","0,057","22,2",188,360,0,0,0,0,0,0,"0,013","0,014","0,19",1628,"0,72","0,299",2664,"0,014",0,"0,278","0,067",0,"0,017","0,002","0,011","0,001","68,42"
Cereal de salvado de avena,Mezclas de salteados y salsas a base de soja,144,"11,72","4,65","1,5","1,2","8,81","1,94",3692,"2,314",31,0,135,585,1330,0,0,271,"0,058","0,096","2,241","0,235",0,20,20,20,"46,6","0,59",0,"14,8",0,"1,42",0,"34,8",26,97,17,"1,23","1,96","0,057","11,5",234,249,0,0,0,0,0,0,"0,006","0,007","0,095",1284,"0,5","0,15",3496,"0,042",0,"2,022","0,279",0,"0,008","0,001","0,005",0,"73,6"
Cereal de trigo,platos combinados de carne,116,"11,41",3,"1,27","1,4","6,73",1669,"2,792",1539,31,0,206,858,2021,0,0,407,"0,044","0,083",2048,"0,188",0,19,19,19,46,"0,59",0,"9,7",0,"1,34",0,"27,3",19,85,13,"1,14","1,94","0,054","11,2",164,316,0,0,0,0,0,0,"0,007","0,008","0,095",1091,"0,439","0,144","2,617","0,028",0,1323,"0,2",0,"0,008","0,001","0,006",0,"77,52"
Cereal integral,platos combinados de carne,130,"6,19","12,85","1,07","0,8","6,16",1427,2458,1587,14,6,9,6,25,11,0,108,"0,109","0,108",1616,"0,087",10,9,27,19,"22,6","0,28",0,"0,7","0,1","0,68",0,"7,1",71,81,12,"1,17","0,92","0,043","6,4",112,301,0,0,0,"0,005","0,004","0,002","0,008","0,01","0,065","0,9","0,393","0,095","2,34","0,025",0,1416,"0,163",0,"0,005",0,"0,002",0,"73,37"
Cereal para bebés pequeños,platos combinados de carne,127,"6,15","11,7","1,12","0,9","6,36",1452,2532,1668,14,6,86,332,783,0,0,160,"0,111","0,104",1539,"0,092",10,10,27,20,"21,6","0,28",0,"3,8","0,1","0,92",0,13,73,78,10,"1,17","0,9","0,044","6,4",106,306,0,0,0,"0,005","0,004","0,002","0,008","0,01","0,065","0,918","0,398","0,096","2,411","0,026",0,1485,"0,175",0,"0,005",0,"0,002",0,"74,33"
Cereal para bebés y niños pequeños,Mezclas de salteados y salsas a base de soja,143,"10,56","7,9","1,31","1,1","7,7",1698,"3,223",2023,27,0,118,508,1157,0,0,236,"0,072","0,085","2,152","0,217",8,17,30,25,"40,8","0,51",0,"12,8",0,"1,24",0,"30,3",24,90,17,"1,24","1,77","0,059",11,209,217,0,0,0,0,0,0,"0,006","0,006","0,083","1,126","0,436","0,131",3052,"0,037",0,1767,"0,245",0,"0,007","0,001","0,005",0,"72,71"
Cereal para bebés,platos combinados de carne,131,"5,85","14,9","1,45","1,1","5,4",1034,"2,232",1664,12,0,84,328,840,1,3657,162,"0,094","0,055","1,69","0,138",24,11,52,35,"21,1","0,22",0,"5,6",0,"1,41",0,"13,8",15,58,14,"1,22","1,01","0,08","7,7",156,306,0,0,0,0,0,0,"0,002","0,003","0,039","0,708","0,248","0,065","2,135","0,028",0,1457,"0,198",0,"0,003",0,"0,002",0,"72,5"
Cereal,platos combinados de carne,140,"13,2","10,74","1,46",1,"5,1",1301,1732,1622,30,2,2,0,0,0,0,1,"0,079","0,131",3703,"0,414",0,8,8,8,"35,2","0,75",0,"5,5",0,"0,76",0,"1,1",14,134,17,"1,43","2,1","0,132","10,8",335,486,0,0,0,0,0,0,"0,002","0,007","0,062","0,823","0,36","0,079",1613,"0,016",0,1555,"0,038",0,"0,017","0,001","0,004",0,"68,96"
Cereales,Mezclas de salteados y salsas a base de soja,139,"10,31","7,6","1,29","1,2","7,58",1667,3168,1987,26,0,116,501,1140,0,0,232,"0,052","0,083",1932,"0,202",0,17,17,17,"40,2","0,5",0,"12,6",0,"1,22",0,"29,8",23,86,15,"1,08","1,72","0,055","10,5",202,216,0,0,0,0,0,0,"0,006","0,006","0,081","1,104","0,429","0,129",3,"0,036",0,1736,"0,24",0,"0,007","0,001","0,005",0,"73,43"
cereales,"Carne de res, excluye molida",230,"27,12",0,0,0,"12,69",5022,5602,"0,601",82,7,7,0,0,0,0,0,"0,058","0,25",5833,"0,666",0,6,6,6,"72,4","2,1",0,0,"0,1","0,24",0,"1,5",19,217,22,"3,13","4,47","0,07","27,1",279,373,0,0,0,0,0,0,"0,009","0,01","0,34","2,81",1645,"0,408",4981,"0,027",0,"0,497","0,021",0,"0,047","0,002","0,011","0,001","58,95"
Cerezas,"Carne de res, excluye molida",257,"25,9",0,0,0,"16,46",6728,7348,"0,727",86,3,3,0,0,0,0,0,"0,067","0,188",5415,"0,474",0,7,7,7,"82,6","1,8",0,0,"0,2","0,31",0,"1,4",13,179,20,"2,18","5,06","0,074","28,1",269,357,0,0,0,0,0,0,"0,024","0,024","0,481",3822,"2,198","0,589",6586,"0,03",0,"0,568","0,086",0,"0,045","0,003","0,012","0,001","56,52"
Cerveza,Carne molida,272,"25,45",0,0,0,"18,18","6,95",8194,"0,514",87,3,3,0,0,0,0,0,"0,048","0,175","4,919","0,356",0,10,10,10,"79,4","2,75",0,0,0,"0,12",0,"1,9",27,190,20,"2,41","6,17","0,077","21,3",294,383,0,0,0,0,0,0,0,"0,013","0,526","3,901","2,103","0,669",6993,"0,06",0,"0,4","0,057",0,"0,048",0,0,0,"55,2"
Champiñones en escabeche,Mezclas de salteados y salsas a base de soja,148,"11,78","5,8","1,4",1,"8,81",1944,3697,"2,333",31,0,6,7,74,1,0,130,"0,058","0,111","2,512","0,245",0,15,15,15,"46,5","0,59",0,"9,9",0,"1,31",0,"20,1",18,96,18,"1,2","1,96","0,099","12,5",241,236,0,0,0,0,0,0,"0,007","0,007","0,095",1286,"0,502","0,15","3,5","0,043",0,2034,"0,283",0,"0,008","0,001","0,005",0,"72,42"
Champiñones fritos,platos combinados de carne,126,"5,39","12,28","1,74","1,6","6,56","1,173",2731,"2,129",12,0,8,6,91,11,3611,113,"0,063","0,059",1669,"0,208",0,13,13,13,"26,6","0,22",0,"5,7",0,"1,43",0,"10,4",12,59,19,"0,82","0,92","0,121","4,5",286,305,0,0,0,0,0,0,"0,003","0,004","0,038","0,802","0,283","0,069","2,623","0,037",0,1872,"0,249",0,"0,003",0,"0,002",0,"74,34"
Champiñones rellenos,platos combinados de carne,128,"5,33","12,19","1,25","1,3","6,69","1,31","2,525",2353,12,5,8,6,23,10,0,101,"0,061","0,055",1408,"0,179",0,10,10,10,"26,1","0,25",0,"3,6","0,1","0,96",0,13,21,62,16,"0,57","0,87","0,09","4,9",223,303,0,0,0,"0,005","0,004","0,003","0,009","0,01","0,06","0,856","0,312","0,066","2,423","0,036",0,2067,"0,278",0,"0,003",0,"0,002",0,"74,5"
Champiñones,platos combinados de carne,131,"8,17","12,97","0,91","1,3","5,43","2,69",1839,"0,488",23,22,25,7,33,11,0,113,"0,072","0,111",1541,"0,205",1,13,14,13,"26,6","0,33",0,"4,2","0,3","0,1",0,5,94,117,21,"0,69","1,26","0,101","6,4",259,305,0,0,0,"0,105","0,054","0,029","0,066","0,063","0,374",1391,"0,605","0,15",1687,"0,002",0,"0,41","0,072",0,"0,003",0,"0,002",0,"71,84"
Channa Saag,platos combinados de carne,126,"6,93","13,46","1,19","1,8","5,15",1094,"2,127",1439,16,0,107,444,1047,0,0,216,"0,081","0,054",1841,"0,257",0,15,15,15,"31,6","0,3",0,"9,4",0,1,0,"17,1",14,68,18,"0,78","1,16","0,126",6,280,313,0,0,0,0,0,0,"0,004","0,006","0,051","0,729","0,276","0,081","2,019","0,025",0,"1,25","0,18",0,"0,004","0,001","0,003",0,"72,98"
Chatney,"Carne de res, excluye molida",231,"29,41",0,0,0,"12,04",4616,5565,"0,47",94,1,1,0,0,0,0,0,"0,071","0,222",3702,"0,354",0,8,8,8,"105,1","2,57",0,0,"0,2","0,14",0,"1,7",10,227,22,"2,74",7,"0,115","27,2",285,377,0,0,0,0,0,0,"0,017","0,013","0,368",2803,1385,"0,522","4,992","0,017",0,"0,352","0,071",0,"0,045","0,004","0,01","0,001","55,99"
chicharrones de piel de cerdo,Embutidos y embutidos,115,"18,62","0,64","0,29",0,"3,69",1318,1521,"0,27",51,3,3,0,0,0,0,0,"0,043","0,213",5581,"0,46",0,5,5,5,"43,9","2,04",0,0,0,"0,49",0,"1,6",5,242,20,"2,05","3,2","0,086","14,7",647,853,0,0,0,0,0,0,0,0,"0,085","0,748","0,429","0,124",1333,"0,011",0,"0,178","0,018",0,"0,037","0,007","0,012","0,001","73,72"
Chicle sin azúcar,Embutidos y embutidos,115,"18,62","0,64","0,29",0,"3,69",1318,1521,"0,27",51,3,3,0,0,0,0,0,"0,043","0,213",5581,"0,46",0,5,5,5,"43,9","2,04",0,0,0,"0,49",0,"1,6",5,242,20,"2,05","3,2","0,086","14,7",647,640,0,0,0,0,0,0,0,0,"0,085","0,748","0,429","0,124",1333,"0,011",0,"0,178","0,018",0,"0,037","0,007","0,012","0,001","73,72"
